lands,ramp,rock_ramp,land_ramp,ramp_1,ramp_2,ramp_3,draw,immediate_draw,turn_draw,cast_draw,draw_1,draw_2,draw_3,value,value_cmc,curve,cmc_1,cmc_2,cmc_3,cmc_4,cmc_5,cmc_6,cmc_7+,total_mana_spent,ramp_mana_spent,draw_mana_spent,nonramp_nondraw_mana_spent,high_cmc_mana_spent,avg_commander_cast_turn,commander_cast_rate
43,4,3,1,2,2,0,8,7,1,0,0,3,3,44,3.090909090909091,3.0701754385964914,7,19,13,7,6,4,1,30.656,2.344,3.716,24.596,0.702,3.7690763052208833,0.996
41,7,3,4,3,4,0,7,3,3,1,0,2,1,44,3.090909090909091,3.0508474576271185,8,19,13,8,6,4,1,31.554,2.992,3.972,24.59,0.648,3.580971659919028,0.988
41,7,4,3,4,3,0,7,1,5,1,0,0,1,44,3.090909090909091,3.0338983050847457,8,20,12,8,6,4,1,31.372,3.184,3.598,24.59,0.72,3.676056338028169,0.994
32,9,5,4,5,4,0,14,7,7,0,0,4,3,44,3.090909090909091,2.8823529411764706,10,23,17,8,6,3,1,35.202,4.24,6.372,24.59,1.08,3.795131845841785,0.986
41,7,5,2,4,3,0,7,3,3,1,0,1,2,44,3.090909090909091,3.0677966101694913,7,20,13,8,6,4,1,31.528,3.192,3.75,24.586,0.756,3.6485943775100402,0.996
42,3,1,2,0,3,0,10,6,4,0,0,4,2,44,3.090909090909091,3.0517241379310347,6,20,14,8,6,3,1,31.414,2.498,4.336,24.58,0.63,4.0885311871227366,0.994
36,7,5,2,4,3,0,12,5,7,0,0,3,2,44,3.090909090909091,2.96875,9,21,14,10,6,3,1,33.536,3.466,5.492,24.578,1.026,3.77979797979798,0.99
43,3,1,2,1,2,0,9,5,4,0,0,3,2,44,3.090909090909091,3.0350877192982457,8,17,14,8,6,3,1,30.524,1.42,4.528,24.576,0.522,3.8674698795180724,0.996
40,7,5,2,3,4,0,8,3,4,1,0,2,1,44,3.090909090909091,3.05,7,20,15,7,6,4,1,31.922,3.554,3.796,24.572,0.9,3.7550607287449393,0.988
42,3,1,2,0,3,0,10,5,5,0,0,3,1,44,3.090909090909091,3.086206896551724,7,19,13,8,6,4,1,31.75,2.592,4.59,24.568,0.648,4.112903225806452,0.992
34,9,5,4,4,5,0,12,6,6,0,0,4,1,44,3.090909090909091,2.9545454545454546,9,23,15,8,6,4,1,34.434,4.528,5.346,24.56,0.864,3.7877551020408164,0.98
40,3,2,1,1,2,0,12,6,6,0,0,4,1,44,3.090909090909091,3.033333333333333,7,21,14,7,6,4,1,32.344,1.842,5.942,24.56,0.558,3.847082494969819,0.994
40,6,3,3,2,4,0,9,4,4,1,0,2,2,44,3.090909090909091,3.05,8,19,14,8,6,4,1,32.16,2.956,4.646,24.558,0.738,3.7784552845528454,0.984
36,9,5,4,5,4,0,10,6,4,0,0,2,3,44,3.090909090909091,2.984375,9,21,15,8,6,4,1,33.218,3.908,4.756,24.554,0.918,3.6957403651115617,0.986
42,6,2,4,2,4,0,7,5,2,0,0,5,0,44,3.090909090909091,2.9655172413793105,8,20,13,7,6,3,1,30.002,2.428,3.03,24.544,0.54,3.7515030060120242,0.998
